State, Total drivers killed, With known BAC, With known BAC %, Estimated drivers killed BACs ≥ 0.08, Estimated drivers killed BACs ≥ 0.08 %
Alabama, 566, 325, 57, , 
Alaska, 32, 20, 63, , 
Arizona, 353, 219, 62, , 
Arkansas, 280, 202, 72, 73, 26
California, 1369, 896, 65, , 
Colorado, 286, 252, 88, 96, 34
Connecticut, 127, 62, 49, , 
Delaware, 46, 37, 80, 16, 34
District of Columbia, 5, 5, 100, 1, 20
Florida, 1162, 687, 59, , 
Georgia, 754, 397, 53, , 
Hawaii, 26, 21, 81, 9, 34
Idaho, 114, 80, 70, 29, 26
Illinois, 509, 435, 85, 151, 30
Indiana, 435, 115, 26, , 
Iowa, 180, 107, 59, , 
Kansas, 229, 70, 31, , 
Kentucky, 401, 286, 71, 74, 18
Louisiana, 363, 312, 86, 108, 30
Maine, 78, 64, 82, 18, 23
Maryland, 210, 159, 76, 48, 23
Massachusetts, 169, 153, 91, 56, 33
Michigan, 483, 257, 53, , 
Minnesota, 193, 169, 88, 56, 29
Mississippi, 378, 177, 47, , 
Missouri, 505, 389, 77, 124, 25
Montana, 108, 94, 87, 48, 45
Nebraska, 115, 88, 77, 33, 28
Nevada, 134, 93, 69, , 
New Hampshire, 80, 75, 94, 22, 27
New Jersey, 210, 171, 81, 56, 27
New Mexico, 158, 113, 72, 47, 30
New York, 359, 239, 67, , 
North Carolina, 724, 354, 49, , 
North Dakota, 56, 47, 84, 17, 30
Ohio, 569, 464, 82, 147, 26
Oklahoma, 351, 318, 91, 69, 20
Oregon, 199, 140, 70, 54, 27
Pennsylvania, 584, 302, 52, , 
Rhode Island, 21, 17, 81, 7, 35
South Carolina, 542, 384, 71, 163, 30
South Dakota, 68, 60, 88, 25, 37
Tennessee, 518, 242, 47, , 
Texas, 1760, 883, 50, , 
Utah, 110, 96, 87, 28, 25
Vermont, 37, 33, 89, 10, 27
Virginia, 437, 377, 86, 135, 31
Washington, 237, 193, 81, 73, 31
West Virginia, 148, 130, 88, 18, 12
Wisconsin, 328, 275, 84, 116, 35
Wyoming, 62, 25, 40, , 