State,Car occ number,Car occ %,Pickup SUV occ number,Pickup SUV occ %,Large truck occ number,Large truck occ %,Motorcyclists,Motorcyclists %,Pedestrians,Pedestrians %,Bicyclists,Bicyclists %,Total,Total %
Alabama,415,44,305,32,17,2,82,9,107,11,9,1,953,100
Alaska,22,28,25,31,1,1,12,15,14,18,0,0,80,100
Arizona,269,27,217,21,14,1,149,15,237,23,23,2,1010,100
Arkansas,163,32,187,36,24,5,66,13,62,12,3,1,516,100
California,1248,35,654,18,38,1,488,14,893,25,154,4,3563,100
Colorado,186,29,210,33,12,2,103,16,89,14,22,3,632,100
Connecticut,125,43,49,17,5,2,49,17,60,20,1,0,294,100
Delaware,39,35,24,22,1,1,17,15,23,21,6,5,111,100
District of Columbia,7,23,1,3,0,0,8,26,11,35,3,10,31,100
Florida,1009,32,562,18,42,1,574,18,704,22,160,5,3133,100
Georgia,550,37,426,28,31,2,154,10,261,17,30,2,1504,100
Hawaii,17,15,18,15,0,0,34,29,42,36,2,2,117,100
Idaho,76,33,72,31,7,3,38,16,17,7,2,1,231,100
Illinois,419,41,241,23,23,2,119,12,165,16,24,2,1031,100
Indiana,357,42,198,23,19,2,117,14,114,13,22,3,858,100
Iowa,128,40,92,29,7,2,43,14,22,7,7,2,318,100
Kansas,139,34,148,37,11,3,64,16,29,7,5,1,404,100
Kentucky,298,41,214,30,14,2,95,13,73,10,10,1,724,100
Louisiana,248,32,214,28,10,1,79,10,164,21,28,4,768,100
Maine,60,44,40,29,0,0,23,17,7,5,2,1,137,100
Maryland,196,39,95,19,9,2,62,12,128,26,5,1,501,100
Massachusetts,129,36,75,21,4,1,59,16,78,22,4,1,360,100
Michigan,377,39,250,26,8,1,143,15,142,15,21,2,974,100
Minnesota,144,38,105,28,3,1,59,15,42,11,7,2,381,100
Mississippi,262,39,228,34,16,2,41,6,88,13,6,1,664,100
Missouri,367,40,286,31,22,2,113,12,95,10,2,0,921,100
Montana,48,26,85,47,4,2,21,12,15,8,2,1,182,100
Nebraska,88,38,77,33,11,5,23,10,24,10,0,0,230,100
Nevada,103,31,67,20,2,1,59,18,79,24,8,2,330,100
New Hampshire,52,35,47,32,3,2,28,19,9,6,2,1,147,100
New Jersey,205,36,84,15,13,2,53,9,173,31,18,3,564,100
New Mexico,112,29,114,29,8,2,45,12,83,21,11,3,391,100
New York,301,32,163,17,8,1,149,16,262,28,29,3,943,100
North Carolina,567,39,372,26,21,1,191,13,225,16,18,1,1437,100
North Dakota,25,24,49,47,2,2,16,15,6,6,2,2,105,100
Ohio,469,44,251,24,23,2,145,14,127,12,22,2,1068,100
Oklahoma,236,36,207,32,25,4,91,14,60,9,16,2,655,100
Oregon,156,31,129,25,11,2,78,15,80,16,9,2,506,100
Pennsylvania,469,39,273,23,14,1,165,14,197,17,18,2,1190,100
Rhode Island,18,31,12,20,0,0,18,31,7,12,1,2,59,100
South Carolina,389,38,285,27,16,2,141,14,165,16,23,2,1037,100
South Dakota,50,38,44,34,4,3,16,12,10,8,0,0,130,100
Tennessee,402,39,284,27,17,2,168,16,136,13,8,1,1041,100
Texas,1160,32,1191,33,98,3,416,11,612,17,69,2,3642,100
Utah,86,33,69,27,8,3,47,18,36,14,3,1,260,100
Vermont,33,49,18,26,2,3,7,10,6,9,0,0,68,100
Virginia,349,43,200,24,22,3,100,12,118,14,12,1,820,100
Washington,186,34,139,25,5,1,80,15,102,19,16,3,546,100
West Virginia,107,36,90,31,10,3,39,13,22,7,5,2,294,100
Wisconsin,251,43,164,28,7,1,83,14,56,10,4,1,588,100
Wyoming,26,23,54,49,6,5,15,14,6,5,0,0,111,100