State, Urban, Urban %, Rural, Rural %, Unknown, Unknown %, Total
Alabama, 412, 43, 541, 57, 0, 0, 953
Alaska, 39, 49, 41, 51, 0, 0, 80
Arizona, 680, 67, 318, 31, 12, 1, 1010
Arkansas, 210, 41, 306, 59, 0, 0, 516
California, 2490, 70, 1072, 30, 1, 0.123, 3563
Colorado, 373, 59, 259, 41, 0, 0, 632
Connecticut, 252, 86, 39, 13, 3, 1, 294
Delaware, 57, 51, 54, 49, 0, 0, 111
District of Columbia, 31, 100, 0, 0, 0, 0, 31
Florida, 1860, 59, 724, 23, 549, 18, 3133
Georgia, 996, 66, 508, 34, 0, 0, 1504
Hawaii, 91, 78, 26, 22, 0, 0, 117
Idaho, 63, 27, 168, 73, 0, 0, 231
Illinois, 645, 63, 386, 37, 0, 0, 1031
Indiana, 333, 39, 524, 61, 1, 0.123, 858
Iowa, 64, 20, 254, 80, 0, 0, 318
Kansas, 95, 24, 308, 76, 1, 0.123, 404
Kentucky, 208, 29, 515, 71, 1, 0.123, 724
Louisiana, 463, 60, 304, 40, 1, 0.123, 768
Maine, 19, 14, 117, 85, 1, 1, 137
Maryland, 403, 80, 90, 18, 8, 2, 501
Massachusetts, 323, 90, 36, 10, 1, 0.123, 360
Michigan, 566, 58, 407, 42, 1, 0.123, 974
Minnesota, 160, 42, 218, 57, 3, 1, 381
Mississippi, 224, 34, 440, 66, 0, 0, 664
Missouri, 409, 44, 512, 56, 0, 0, 921
Montana, 28, 15, 154, 85, 0, 0, 182
Nebraska, 59, 26, 171, 74, 0, 0, 230
Nevada, 239, 72, 89, 27, 2, 1, 330
New Hampshire, 69, 47, 78, 53, 0, 0, 147
New Jersey, 509, 90, 45, 8, 10, 2, 564
New Mexico, 158, 40, 231, 59, 2, 1, 391
New York, 477, 51, 466, 49, 0, 0, 943
North Carolina, 593, 41, 843, 59, 1, 0.123, 1437
North Dakota, 14, 13, 91, 87, 0, 0, 105
Ohio, 580, 54, 471, 44, 17, 2, 1068
Oklahoma, 225, 34, 429, 65, 1, 0.123, 655
Oregon, 178, 35, 328, 65, 0, 0, 506
Pennsylvania, 660, 55, 524, 44, 6, 1, 1190
Rhode Island, 43, 73, 15, 25, 1, 2, 59
South Carolina, 356, 34, 681, 66, 0, 0, 1037
South Dakota, 13, 10, 117, 90, 0, 0, 130
Tennessee, 570, 55, 471, 45, 0, 0, 1041
Texas, 2110, 58, 1520, 42, 12, 0.123, 3642
Utah, 165, 63, 93, 36, 2, 1, 260
Vermont, 7, 10, 60, 88, 1, 1, 68
Virginia, 346, 42, 471, 57, 3, 0.123, 820
Washington, 305, 56, 235, 43, 6, 1, 546
West Virginia, 116, 39, 178, 61, 0, 0, 294
Wisconsin, 199, 34, 386, 66, 3, 1, 588
Wyoming, 14, 13, 96, 86, 1, 1, 111